"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-01","2022","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-02","2022","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-03","2022","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-04","2022","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-05","2022","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-06","2022","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-07","2022","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-08","2022","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-09","2022","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-10","2022","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-11","2022","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-12","2022","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-13","2022","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-14","2022","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-15","2022","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-16","2022","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-17","2022","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-18","2022","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-19","2022","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-20","2022","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-21","2022","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-22","2022","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-23","2022","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-24","2022","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-25","2022","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-26","2022","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-27","2022","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-28","2022","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-29","2022","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-30","2022","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-01-31","2022","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-01","2022","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-02","2022","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-03","2022","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-04","2022","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-05","2022","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-06","2022","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-07","2022","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-08","2022","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-09","2022","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-10","2022","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-11","2022","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-12","2022","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-13","2022","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-14","2022","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-15","2022","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-16","2022","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-17","2022","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-18","2022","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-19","2022","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-20","2022","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-21","2022","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-22","2022","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-23","2022","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-24","2022","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-25","2022","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-26","2022","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-27","2022","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-02-28","2022","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-01","2022","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-02","2022","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-03","2022","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-04","2022","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-05","2022","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-06","2022","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-07","2022","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-08","2022","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-09","2022","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-10","2022","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-11","2022","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-12","2022","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-13","2022","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-14","2022","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-15","2022","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-16","2022","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-17","2022","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-18","2022","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-19","2022","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-20","2022","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-21","2022","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-22","2022","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-23","2022","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-24","2022","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-25","2022","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-26","2022","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-27","2022","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-28","2022","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-29","2022","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-30","2022","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-03-31","2022","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-01","2022","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-02","2022","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-03","2022","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-04","2022","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-05","2022","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-06","2022","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-07","2022","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-08","2022","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-09","2022","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-10","2022","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-11","2022","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-12","2022","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-13","2022","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-14","2022","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-15","2022","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-16","2022","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-17","2022","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-18","2022","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-19","2022","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-20","2022","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-21","2022","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-22","2022","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-23","2022","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-24","2022","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-25","2022","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-26","2022","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-27","2022","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-28","2022","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-29","2022","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-04-30","2022","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-01","2022","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-02","2022","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-03","2022","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-04","2022","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-05","2022","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-06","2022","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-07","2022","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-08","2022","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-09","2022","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-10","2022","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-11","2022","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-12","2022","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-13","2022","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-14","2022","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-15","2022","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-16","2022","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-17","2022","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-18","2022","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-19","2022","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-20","2022","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-21","2022","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-22","2022","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-23","2022","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-24","2022","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-25","2022","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-26","2022","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-27","2022","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-28","2022","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-29","2022","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-30","2022","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-05-31","2022","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-01","2022","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-02","2022","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-03","2022","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-04","2022","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-05","2022","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-06","2022","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-07","2022","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-08","2022","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-09","2022","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-10","2022","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-11","2022","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-12","2022","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-13","2022","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-14","2022","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-15","2022","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-16","2022","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-17","2022","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-18","2022","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-19","2022","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-20","2022","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-21","2022","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-22","2022","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-23","2022","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-24","2022","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-25","2022","06","25","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-26","2022","06","26","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-27","2022","06","27","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-28","2022","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"-110.26","54.41","COLD LAKE SNOW","3081682","2022-06-29","2022","06","29","","","","","","","","","","","","","","","","","","","","","","",""
